name,country,designation,iucn_cat,WDPAID
Chai River,GHA,Forest Reserve,Not Reported,26507
Chasi River,GHA,Forest Reserve,Not Reported,26535
Che Che,GNB,Not Reported,Not Reported,342671
Chiana Hills,GHA,Forest Reserve,Not Reported,26536
Chihurma,NGA,Forest Reserve,Not Reported,36651
Chikwei,NGA,Forest Reserve,Not Reported,36649
Chinade,NGA,Forest Reserve,Not Reported,36412
Chipa Tributaries,GHA,Forest Reserve,Not Reported,40892
Chiremoasi,GHA,Forest Reserve,Not Reported,40675
Chirimfa,GHA,Forest Reserve,Not Reported,40774
Chokochoko,NGA,Forest Reserve,Not Reported,36844
Chutes de Tinkisso,GIN,Classified Forest,Not Reported,29424
Classified Forest Name Unknown CIV No1,CIV,Classified Forest,Not Reported,300739
Classified Forest Name Unknown CIV No10,CIV,Classified Forest,Not Reported,300778
Classified Forest Name Unknown CIV No11,CIV,Classified Forest,Not Reported,300783
Classified Forest Name Unknown CIV No12,CIV,Classified Forest,Not Reported,300784
Classified Forest Name Unknown CIV No13,CIV,Classified Forest,Not Reported,300787
Classified Forest Name Unknown CIV No14,CIV,Classified Forest,Not Reported,300788
Classified Forest Name Unknown CIV No15,CIV,Classified Forest,Not Reported,300791
Classified Forest Name Unknown CIV No16,CIV,Classified Forest,Not Reported,300792
Classified Forest Name Unknown CIV No17,CIV,Classified Forest,Not Reported,300802
Classified Forest Name Unknown CIV No18,CIV,Classified Forest,Not Reported,300804
Classified Forest Name Unknown CIV No19,CIV,Classified Forest,Not Reported,300805
Classified Forest Name Unknown CIV No2,CIV,Classified Forest,Not Reported,300741
Classified Forest Name Unknown CIV No20,CIV,Classified Forest,Not Reported,300806
Classified Forest Name Unknown CIV No21,CIV,Classified Forest,Not Reported,300811
Classified Forest Name Unknown CIV No22,CIV,Classified Forest,Not Reported,300812
Classified Forest Name Unknown CIV No23,CIV,Classified Forest,Not Reported,300816
Classified Forest Name Unknown CIV No24,CIV,Classified Forest,Not Reported,300817
Classified Forest Name Unknown CIV No25,CIV,Classified Forest,Not Reported,300819
Classified Forest Name Unknown CIV No26,CIV,Classified Forest,Not Reported,300820
Classified Forest Name Unknown CIV No27,CIV,Classified Forest,Not Reported,300822
Classified Forest Name Unknown CIV No28,CIV,Classified Forest,Not Reported,300823
Classified Forest Name Unknown CIV No29,CIV,Classified Forest,Not Reported,300827
Classified Forest Name Unknown CIV No3,CIV,Classified Forest,Not Reported,300755
Classified Forest Name Unknown CIV No30,CIV,Classified Forest,Not Reported,300828
Classified Forest Name Unknown CIV No31,CIV,Classified Forest,Not Reported,300830
Classified Forest Name Unknown CIV No32,CIV,Classified Forest,Not Reported,300831
Classified Forest Name Unknown CIV No33,CIV,Classified Forest,Not Reported,300833
Classified Forest Name Unknown CIV No34,CIV,Classified Forest,Not Reported,300834
Classified Forest Name Unknown CIV No35,CIV,Classified Forest,Not Reported,300835
Classified Forest Name Unknown CIV No36,CIV,Classified Forest,Not Reported,300837
Classified Forest Name Unknown CIV No37,CIV,Classified Forest,Not Reported,300839
Classified Forest Name Unknown CIV No38,CIV,Classified Forest,Not Reported,300840
Classified Forest Name Unknown CIV No39,CIV,Classified Forest,Not Reported,300843
Classified Forest Name Unknown CIV No4,CIV,Classified Forest,Not Reported,300756
Classified Forest Name Unknown CIV No40,CIV,Classified Forest,Not Reported,300844
Classified Forest Name Unknown CIV No41,CIV,Classified Forest,Not Reported,300846
Classified Forest Name Unknown CIV No42,CIV,Classified Forest,Not Reported,300847
Classified Forest Name Unknown CIV No43,CIV,Classified Forest,Not Reported,300848
Classified Forest Name Unknown CIV No44,CIV,Classified Forest,Not Reported,300849
Classified Forest Name Unknown CIV No45,CIV,Classified Forest,Not Reported,300851
Classified Forest Name Unknown CIV No46,CIV,Classified Forest,Not Reported,300852
Classified Forest Name Unknown CIV No47,CIV,Classified Forest,Not Reported,300854
Classified Forest Name Unknown CIV No48,CIV,Classified Forest,Not Reported,300855
Classified Forest Name Unknown CIV No49,CIV,Classified Forest,Not Reported,300856
Classified Forest Name Unknown CIV No5,CIV,Classified Forest,Not Reported,300770
Classified Forest Name Unknown CIV No50,CIV,Classified Forest,Not Reported,300857
Classified Forest Name Unknown CIV No51,CIV,Classified Forest,Not Reported,300859
Classified Forest Name Unknown CIV No52,CIV,Classified Forest,Not Reported,300860
Classified Forest Name Unknown CIV No53,CIV,Classified Forest,Not Reported,300864
Classified Forest Name Unknown CIV No54,CIV,Classified Forest,Not Reported,300865
Classified Forest Name Unknown CIV No55,CIV,Classified Forest,Not Reported,300890
Classified Forest Name Unknown CIV No56,CIV,Classified Forest,Not Reported,300891
Classified Forest Name Unknown CIV No57,CIV,Classified Forest,Not Reported,300900
Classified Forest Name Unknown CIV No58,CIV,Classified Forest,Not Reported,300901
Classified Forest Name Unknown CIV No59,CIV,Classified Forest,Not Reported,300912
Classified Forest Name Unknown CIV No6,CIV,Classified Forest,Not Reported,300772
Classified Forest Name Unknown CIV No60,CIV,Classified Forest,Not Reported,300926
Classified Forest Name Unknown CIV No61,CIV,Classified Forest,Not Reported,300928
Classified Forest Name Unknown CIV No62,CIV,Classified Forest,Not Reported,300929
Classified Forest Name Unknown CIV No63,CIV,Classified Forest,Not Reported,300933
Classified Forest Name Unknown CIV No64,CIV,Classified Forest,Not Reported,300934
Classified Forest Name Unknown CIV No65,CIV,Classified Forest,Not Reported,300937
Classified Forest Name Unknown CIV No66,CIV,Classified Forest,Not Reported,300938
Classified Forest Name Unknown CIV No67,CIV,Classified Forest,Not Reported,300939
Classified Forest Name Unknown CIV No68,CIV,Classified Forest,Not Reported,300940
Classified Forest Name Unknown CIV No69,CIV,Classified Forest,Not Reported,300944
Classified Forest Name Unknown CIV No7,CIV,Classified Forest,Not Reported,300773
Classified Forest Name Unknown CIV No70,CIV,Classified Forest,Not Reported,300945
Classified Forest Name Unknown CIV No71,CIV,Classified Forest,Not Reported,300951
Classified Forest Name Unknown CIV No72,CIV,Classified Forest,Not Reported,300952
Classified Forest Name Unknown CIV No73,CIV,Classified Forest,Not Reported,300953
Classified Forest Name Unknown CIV No74,CIV,Classified Forest,Not Reported,300954
Classified Forest Name Unknown CIV No75,CIV,Classified Forest,Not Reported,300956
Classified Forest Name Unknown CIV No76,CIV,Classified Forest,Not Reported,300959
Classified Forest Name Unknown CIV No77,CIV,Classified Forest,Not Reported,301724
Classified Forest Name Unknown CIV No8,CIV,Classified Forest,Not Reported,300774
Classified Forest Name Unknown CIV No9,CIV,Classified Forest,Not Reported,300777
Cliff of Bandiagara Land of the Dogons,MLI,World Heritage Site,Not Applicable,20171
Colline-Macenta,GIN,Classified Forest,Not Reported,29462
Comoe National Park,CIV,World Heritage Site,Not Applicable,9545
Comoe,CIV,National Park,II,7523
Counsignaki,GIN,Classified Forest,Not Reported,29463
Cross River North,NGA,Forest Reserve,Not Reported,37009
Cross River South,NGA,Forest Reserve,Not Reported,37010
Cross River,NGA,National Park,II,20299
Cufada,GNB,National Park,Not Reported,342673
Dabaga,NGA,Forest Reserve,Not Reported,36340
Dabamsame,NGA,Forest Reserve,Not Reported,36354
Dabira,NGA,Forest Reserve,Not Reported,36228
Dadieso,GHA,Forest Reserve,Not Reported,40840
Dadingel,NGA,Forest Reserve,Not Reported,36438
Dagida,NGA,Game Reserve,IV,7863
Dagidda,NGA,Forest Reserve,Not Reported,36583
Dagona Sanctuary Lake,NGA,"Ramsar Site, Wetland of International Importance",Not Applicable,903106
Dajina,NGA,Forest Reserve,Not Reported,36225
Daka Headwaters,GHA,Forest Reserve,Not Reported,26442
Dakka,NGA,Forest Reserve,Not Reported,36717
Dalli,NGA,Forest Reserve,Not Reported,36415
Dam Makama,NGA,Forest Reserve,Not Reported,36251
Damakhania,GIN,Classified Forest,Not Reported,29352
Damakuli,NGA,Forest Reserve,Not Reported,36234
Damango Scarp,GHA,Forest Reserve,Not Reported,26553
Damangu,NGA,Forest Reserve,Not Reported,36291
Damasak,NGA,Forest Reserve,Not Reported,36207
Damboa,NGA,Forest Reserve,Not Reported,36456
Dampia Range,GHA,Forest Reserve,Not Reported,40676
Damri,NGA,Forest Reserve,Not Reported,36344
Dan Babba,NGA,Forest Reserve,Not Reported,36199
Dan Burkina Faso,BFA,Classified Forest,Not Reported,28570
Dan Gagi,NGA,Forest Reserve,Not Reported,36318
Dan Kabba,NGA,Forest Reserve,Not Reported,36194
Dan Kulili,NGA,Forest Reserve,Not Reported,36250
Dan,BEN,Classified Forest,Not Reported,32999
Dandadu,NGA,Forest Reserve,Not Reported,36478
Danganagi,NGA,Forest Reserve,Not Reported,36633
Danguwa,NGA,Forest Reserve,Not Reported,36659
Dankaiwa,NGA,Forest Reserve,Not Reported,36322
Dansosia,NGA,Forest Reserve,Not Reported,36387
Dapchi,NGA,Forest Reserve,Not Reported,36243
Dara-Labe,GIN,Classified Forest,Not Reported,29404
Dargazu,NGA,Forest Reserve,Not Reported,36410
Darou-salam,GIN,Classified Forest,Not Reported,29379
Dassieko,CIV,Classified Forest,Not Reported,300966
Dasun,NGA,Forest Reserve,Not Reported,36588
Datsinudara,NGA,Forest Reserve,Not Reported,36567
Daura,NGA,Forest Reserve,Not Reported,36200
Davo,CIV,Classified Forest,Not Reported,29594
Dawaki,NGA,Forest Reserve,Not Reported,36665
Dawan Allah,NGA,Forest Reserve,Not Reported,36196
Dayi,NGA,Forest Reserve,Not Reported,36380
Dayigora,NGA,Forest Reserve,Not Reported,36381
De,CIV,Classified Forest,Not Reported,300850
Deali,SEN,Not Reported,Not Reported,352622
Dechidan Stream,GHA,Forest Reserve,Not Reported,303954
Dede,GHA,Forest Reserve,Not Reported,26449
Dekina,NGA,Forest Reserve,Not Reported,36854
Delta du Saloum,SEN,"Ramsar Site, Wetland of International Importance",Not Applicable,68153
Delta du Saloum,SEN,National Park,II,866
Dem,BFA,Classified Forest,Not Reported,28549
Demsa,NGA,Forest Reserve,Not Reported,36699
Dende,NGA,Forest Reserve,Not Reported,36349
Denyau Shelterbelt,GHA,Forest Reserve,Not Reported,40677
Dep River,NGA,Forest Reserve,Not Reported,36721
Desiri,GHA,Forest Reserve,Not Reported,40756
Deux Bales,BFA,National Park,II,2344
Dialakoro,MLI,Wildlife Reserve,IV,555556066
